371,995,GARSIDE1800-1829,20100817,1812A046,"Milesian Chief, The",Charles Robert MATURIN,1812,goth,Male,,"THE MILESIAN CHIEF. A ROMANCE. BY THE AUTHOR OF MONTORIO, AND THE WILD IRISH BOY. IN FOUR VOLUMES","London:                     Printed for Henry Colburn, Public Library, Conduit-Street, Hanover-Square, 1812","4 vols (I vi, 228p; II 218p; III 239p; IV 204p). 12&deg;",Corvey; CME 3-628-48130-9; ECB 384; EN2 1812: 46; NSTC M1727; OCLC 6929253,"Dedication to the Quarterly Reviewers, dated Dublin, 12 Dec 1811. Drop-head titles and running-titles read: 'The Milesian'","Philadelphia, 1812 (OCLC); French trans., 1828 [as <i>Connal, ou les Mil«∂∏siens</i> (CCFR)]",MATURIN
525,1495,GARSIDE1800-1829,20100817,1820A050,Melmoth the Wanderer,Charles Robert MATURIN,1820,goth,Male,,"MELMOTH THE WANDERER: A TALE. BY THE AUTHOR OF ""BERTRAM,"" &C. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Company, and Hurst, Robinson, and Co. Cheapside, London, 1820","4 vols (I xii, 341p; II 321p; III 368p; IV 453p). 12&deg;",Corvey; CME 3-628-48054-X; ECB 378; EN2 1820: 51; NSTC 2M20497; OCLC 4540321,"Dedication to the Marchioness of Abercorn. Preface dated Dublin, 31 Aug 1820","2nd edn 1821 (OCLC); Boston 1821 (NSTC); French trans., 1821 [as <i>L'Homme du myst&egrave;re, ou histoire de Melmoth le voyageur</i> (MLC); also as <i>Melmoth, ou l'homme errant</i> (MLC)]; German trans., 1821",MATURIN
666,1825,GARSIDE1800-1829,20100817,1824A066,"Albigenses, The",Charles Robert MATURIN,1824,goth,Male,,"THE ALBIGENSES, A ROMANCE. BY THE AUTHOR OF ""BERTRAM,"" A TRAGEDY: ""WOMAN; OR, POUR ET CONTRE,"" &C. IN FOUR VOLUMES","London:                     Printed for Hurst, Robinson, and Co. 90, Cheapside, and 8, Pall-Mall; and A. Constable and Co. Edinburgh, 1824","4 vols (I viii, 439p; II 366p; III 335p; IV 277p). 12&deg;",Corvey; CME 3-628-47036-6; ECB 10; EN2 1824: 66; NSTC 2M20487; OCLC 6925160,"Dedication to Mrs Smith, Fitzwilliam Street, Dublin","New York 1824 (OCLC) [also Philadelphia 1824 (OCLC)]. French trans., 1825",MATURIN
867,2163,GARSIDE1800-1829,20100817,1828A057,"Life of Mansie Wauch, The",David Macbeth MOIR,1828,goth,Male,,"THE LIFE OF MANSIE WAUCH, TAILOR IN DALKEITH. WRITTEN BY HIMSELF","Edinburgh:                     William Blackwood, and T. Cadell, London, 1828","1 vol.  (viii, 374p). 12&deg;",Corvey; ECB 627; EN2 1828: 58; NSTC 2M32196; OCLC 19038233,"Dedication 'to John Galt, Esq. of Guelph, Upper Canada'. 'Part of this Autobiography originally appeared in Blackwood's Magazine' appears on verso of half-title",1839 (NSTC); 1845 (NSTC); New York 1828 (OCLC),MOIR
495,1426,GARSIDE1800-1829,20100817,1819A054,Ernestus Berchtold,John William POLIDORI,1819,goth,Male,,"ERNESTUS BERCHTOLD; OR, THE MODERN OEDIPUS. A TALE. BY JOHN WILLIAM POLIDORI, M.D","London:                     Printed for Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1819","1 vol.  (viii, 275p). 12&deg;",Corvey; CME 3-628-48480-4; ECB 460; EN2 1819: 54; NSTC 2P20555; OCLC 22105256,,,POLIDORI
496,1427,GARSIDE1800-1829,20100817,1819A055,"Vampyre, The",John William POLIDORI,1819,goth,Male,,THE VAMPYRE; A TALE,"London:                     Printed for Sherwood, Neely, and Jones, Paternoster-Row, 1819","1 vol.  (xxv, 84p). 8&deg;",Corvey; CME 3-628-51148-8; ECB 90; EN2 1819: 55; NSTC 2P20559; OCLC 1904059,"[Entered at Stationers' Hall, March 27, 1819.]' after imprint date. 'Extract from a Letter to Geneva', with t.p. 'Extract of a Letter to the Editor', pp. [vii]&ndash;xvi. Introduction, pp. [xix]&ndash;xxv. Continuous roman and arabic pagination in vol. 1, with tale beginning at p. [27]. 'Extract of a Letter, containing an Account of Lord Byron's Residence in the Island of Mitylene', introduced by separate t.p., pp. [75]&ndash;84: this has been ascribed to John Mitford, R.N. The story was also published in the <i>New Monthly Magazine</i>, Apr 1819, and attributed by the publisher to Byron; subsequently repudiated by him, and claimed by Polidori. ECB lists as by Byron. OCLC 1904043 describes another 1819 edn with the imprint of John Miller, London; this is described as 46 pp in length. For further details concerning the early publication history, see Publishing Papers (click on link below)","[1830?] (NSTC); Albany, NY, 1819 (OCLC) [also Boston 1819 (OCLC); New York 1819 (OCLC); Philadelphia 1819 (OCLC)]; French trans., 1819; German trans., 1819",POLIDORI
27,63,GARSIDE1800-1829,20100817,1800A063,"Armenian, The",Johann Christoph Friedrich SCHILLER,1800,goth,Male,Wilhelm RENDER,"THE ARMENIAN; OR, THE GHOST-SEER. A HISTORY FOUNDED ON FACT. TRANSLATED FROM THE GERMAN OF F. SCHILLER, AUTHOR OF THE ROBBERS, DON CARLOS &C. BY THE REV. W. RENDER","London:                     Printed by C. Whittingham, Dean Street, Fetter Lane, for H[.] D. Symonds, Paternoster Row, 1800","4 vols (I vi, 223p; II 243p; III 255p; IV 256p). 12&deg;",BL 1154.i.8; EM 2903: 2; EN2 1800: 64; ESTC t100181; OCLC 7089443,"Trans. of <i>Der Geisterseher. Eine Geschichte aus den Papieren des Grafen von O**</i> (Leipzig, 1789); 2nd and 3rd part continued by X. Y. Z. (i.e. Emanuel Friedrich Wilhelm Ernst Follenius) (Leipzig, 1796&ndash;97). This follows an earlier translation by D. Boileau of Schiller's original first part only, under the title <i>The Ghost-Seer; or the Apparitionist</i> (London, 1795). Imprint in vols 2 and 3 changes to: 'Printed by J. Cundee, Ivy Lane, [etc.]'",Dublin 1800 (ESTC); 1831 (OCLC); Philadelphia 1801 (OCLC),SCHILLER
791,2018,GARSIDE1800-1829,20100817,1826A069,"Gipsy, The",Friedrich August SCHULZE,1826,goth,Male,,"THE GIPSY, A ROMANTIC TALE, FROM THE GERMAN OF FREDERICK LAUN",London:                     C. Chapple,1 vol.  12&deg;,No copy located; ECB 231; EN2 1826: 69; xNSTC; xOCLC,"Trans. of <i>Die Zigeunerin</i> (Leipzig, 1825). Friedrich Laun was the pseudonym of Friedrich August Schulze. Title above has been mainly reconstituted from a list of 'Novels, Romances, and Tales, Published by C. Chapple, Royal Subscription Library, Pall Mall', in <a href=""titleDetails.asp?title=1828A037""><i>Life in the West</i></a> (EN2 1828: 38)",,SCHULZE
407,1134,GARSIDE1800-1829,20100817,1814A054,Waverley,Sir Walter SCOTT,1814,goth,Male,,"WAVERLEY; OR, 'TIS SIXTY YEARS SINCE. IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1814",3 vols (I 358p; II 370p; III 371p). 12&deg;,BL C.59.g.16; ECB 627; EN2 1814: 52; NSTC S893; OCLC 2349473,,"2nd edn 1814 (Corvey), CME 3-628-48598-3; 3rd edn 1814 (NSTC); 4th edn 1814 (NSTC); 5th edn 1815 (NSTC); 6th edn 1816 (NSTC); 7th edn 1817 (NSTC); 8th edn 1821 (NSTC); Boston 1815 (OCLC) [also New York 1815 (OCLC)]; French trans. (of 4th edn), 1818; German trans., 1821. Numerous reprintings in collected edns",SCOTT
425,1187,GARSIDE1800-1829,20100817,1815A044,Guy Mannering,Sir Walter SCOTT,1815,goth,Male,,"GUY MANNERING; OR, THE ASTROLOGER. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Longman, Hurst, Rees, Orme, and Brown, London; and Archibald Constable and Co., 1815",3 vols (I 341p; II 346p; III 358p). 12&deg;,BL 636.e.2; ECB 249; EN2 1815: 46; NSTC S866; OCLC 2384073,,"2nd edn 1815 (Corvey), CME 3-628-48617-3; 3rd edn 1815 (NSTC); 4th edn 1817 (NSTC); 6th edn 1820 (NSTC); Boston, 1815 (OCLC); French trans., 1816; German trans., 1816 [as <i>Der Astrolog; eine caledonische Wundersgage</i> (NSTC)]. Numerous reprintings in collected edns",SCOTT
440,1248,GARSIDE1800-1829,20100817,1816A052,"Antiquary, The",Sir Walter SCOTT,1816,goth,Male,,"THE ANTIQUARY. BY THE AUTHOR OF ""WAVERLEY"" AND ""GUY MANNERING."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1816","3 vols (I viii, 336p; II 348p; III 372p). 12&deg;",Corvey; CME 3-628-48541-X; ECB 21; EN2 1816: 52; NSTC 2S9452; OCLC 2514237,"Novel proper ends vol. 3, p. 355 followed by 'Glossary', pp. [357]&ndash;372","2nd edn 1816 (NSTC); 5th edn 1818 (NSTC); 6th edn 1821 (NSTC); New York 1816 (NSTC, OCLC); French trans., 1817; German trans., 1821. Numerous reprintings in collected edns",SCOTT
441,1249,GARSIDE1800-1829,20100817,1816A053,Tales of my Landlord,Sir Walter SCOTT,1816,goth,Male,,"TALES OF MY LANDLORD, COLLECTED AND ARRANGED BY JEDEDIAH CLEISHBOTHAM, SCHOOLMASTER AND PARISH-CLERK OF GANDERCLEUGH. IN FOUR VOLUMES","Edinburgh:                     Printed for William Blackwood, Prince's Street: and John Murray, Albemarle Street, London, 1816",4 vols (I 363p; II 340p; III 349p; IV 347p). 12&deg;,BL 1152.h.2; ECB 575; EN2 1816: 53; NSTC 2S10281; OCLC 2461097,"Vol. 1 contains 'The Black Dwarf', vols 2&ndash;4 contain 'Old Mortality'","2nd edn 1817 (NSTC); 3rd edn 1817 (Corvey, NSTC); 4th edn 1817/1818 (NSTC, OCLC); 5th edn 1819 (NSTC);  Philadelphia 1817 (OCLC); French trans., 1817 [as <i>Les Puritains d'Ecosse, et le nain myst«∂∏rieux, contes de mon h««_te</i> (NSTC)]; German trans., of 'The Black Dwarf' 1819 and 'Old Mortality' 1824. Numerous reprintings of the constituent tales in collected edns",SCOTT
473,1365,GARSIDE1800-1829,20100817,1818A055,Rob Roy,Sir Walter SCOTT,1818,goth,Male,,"ROB ROY. BY THE AUTHOR OF ""WAVERLEY,"" ""GUY MANNERING,"" AND ""THE ANTIQUARY."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1818","3 vols (I viii, 321p; II 324p; III 348p). 12&deg;",BL Cup.400.b.40; ECB 495; EN2 1818: 55; NSTC 2S10179; OCLC 24119665,,"2nd edn' 1818 (NSTC); '3rd edn' 1818 (Corvey), CME 3-628-48584-3; 4th edn 1818 (NSTC); 1821 (NSTC); New York 1818 (NSTC) [also Philadelphia 1818 (NSTC)]; French trans., 1818 [as <i>Robert le Rouge Mac-Gregor, ou les montagnards «∂∏cossais</i> (NSTC)]; German trans., 1819 [as <i>Robin, der Rothe</i> (NSTC)]. Numerous reprintings in collected edns",SCOTT
474,1366,GARSIDE1800-1829,20100817,1818A056,Tales of my Landlord. Second Series,Sir Walter SCOTT,1818,goth,Male,,"TALES OF MY LANDLORD. SECOND SERIES, COLLECTED AND ARRANGED BY JEDEDIAH CLEISHBOTHAM, SCHOOLMASTER AND PARISH-CLERK OF GANDERCLEUGH. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Company, 1818",4 vols (I 333p; II 322p; III 328p; IV 375p). 12&deg;,Corvey; ECB 575; EN2 1818: 56; NSTC 2S10293; OCLC 2461091,Comprises 'The Heart of Mid-Lothian',"2nd edn 1818 (NSTC); 3rd edn 1818 (NSTC); New York 1818 (OCLC) [also Philadelphia 1818 (NSTC)]; French trans., 1818. Numerous reprintings in collected edns",SCOTT
497,1432,GARSIDE1800-1829,20100817,1819A060,"Tales of my Landlord, Third Series",Sir Walter SCOTT,1819,goth,Male,,"TALES OF MY LANDLORD, THIRD SERIES, COLLECTED AND ARRANGED BY JEDEDIAH CLEISHBOTHAM, SCHOOLMASTER AND PARISH-CLERK OF GANDERCLEUGH. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row; and Hurst, Robinson, and Co. 90, Cheapside, London, 1819",4 vols (I 333p; II 324p; III 333p: IV 330p). 12&deg;,"BL 636.e.8,9; ECB 575; EN2 1819: 61; NSTC 2S10296; OCLC 2461092","Contains 'The Bride of Lammermoor' (ends vol. 3, p. 131) and 'A Legend of Montrose' (begins vol. 3, p. [135])","2nd edn' 1819 (CBEL3); '3rd edn' 1819 (Corvey, CBEL3); New York 1819 (OCLC) [also Philadelphia 1819 (NSTC)]; French trans., of 'The Bride of Lammermoor' 1819 and 'A Legend of Montrose' [as <i>L'Officier de fortune</i> (NSTC)] 1819; German trans., of 'The Bride of Lammermoor' [as <i>Die Braut</i> (RS)] 1820, and of 'A Legend of Montrose' [as <i>Allan Mac-Aulay, der Seher des Hochlandes</i> (RS)] 1821. Multiple reprintings of the constituent tales  in collected edns as separate tales",SCOTT
526,1506,GARSIDE1800-1829,20100817,1820A061,"Abbot, The",Sir Walter SCOTT,1820,goth,Male,,"THE ABBOT. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed for Longman, Hurst, Rees, Orme, and Brown, London; and for Archibald Constable and Company, and John Ballantyne, 1820","3 vols (I iv, 348p; II 351p; III 367p). 12&deg;","Corvey, CME 3-628-48545-2; ECB 1; EN2 1820: 62; NSTC 2S9409; OCLC 777337",,"Boston 1820 (OCLC) [also New York 1820 (OCLC); Philadelphia 1820 (OCLC)]; French trans., 1820; German trans., 1821 [as <i>Der Abt, ein romantisches Gem&auml;hlde</i> (RS). Numerous reprintings in collected edns",SCOTT
527,1507,GARSIDE1800-1829,20100817,1820A062,Ivanhoe,Sir Walter SCOTT,1820,goth,Male,,"IVANHOE; A ROMANCE. BY ""THE AUTHOR OF WAVERLEY,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co; and Hurst, Robinson, and Co. 90, Cheapside, London, 1820","3 vols (I xxxiii, 298p; II 327p; III 371p). 8&deg;",BL 247.e.25&ndash;7; ECB 303; EN2 1820: 63; NSTC 2S9692; OCLC 20010815,,"2nd edn 1820 (Corvey); 3rd edn 1821 (CBEL3); Boston 1820 (OCLC) [also New York (OCLC); Philadelphia 1820 (OCLC)]; French trans., 1820 [as <i>Ivanho«∂∏, ou le retour du crois«∂∏</i> (CCFR); German trans., 1820. Numerous reprintings in collected edns",SCOTT
528,1508,GARSIDE1800-1829,20100817,1820A063,"Monastery, The",Sir Walter SCOTT,1820,goth,Male,,"THE MONASTERY. A ROMANCE. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed for Longman, Hurst, Rees, Orme, and Brown, London; and for Archibald Constable and Co., and John Ballantyne, Bookseller to the King, 1820",3 vols (I 331p; II 330p; III 351p). 12&deg;,Corvey; CME 3-628-48578-9; ECB 391; EN2 1820: 64; NSTC 2S10043; OCLC 1331650,,"2nd edn' 1820 (CBEL3); Boston 1820 (OCLC) [also New York 1820 (OCLC); Philadelphia 1820 (OCLC)]; French trans., 1820; German trans., 1821. Numerous reprintings in collected edns",SCOTT
563,1578,GARSIDE1800-1829,20100817,1821A063,Kenilworth,Sir Walter SCOTT,1821,goth,Male,,"KENILWORTH; A ROMANCE. BY THE AUTHOR OF ""WAVERLEY,"" ""IVANHOE,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and John Ballantyne; and Hurst, Robinson, and Co., London, 1821",3 vols (I 320p; II 339p; III 348p). 8&deg;,Corvey; CME 3-628-48582-7; ECB 318; EN2 1821: 64; NSTC 2S9760; OCLC 2023263,,"2nd edn 1821 (NSTC); Boston 1821 (OCLC) [also New York 1821 (OCLC); Philadelphia 1821 (OCLC)]; French trans., 1821 [as <i>Le Ch«∂Ωteau de Kenilworth</i> (CCFR)]; German trans., 1821. Numerous reprintings in collected edns",SCOTT
587,1655,GARSIDE1800-1829,20100817,1822A065,"Fortunes of Nigel, The",Sir Walter SCOTT,1822,goth,Male,,"THE FORTUNES OF NIGEL. BY THE AUTHOR OF ""WAVERLEY, KENILWORTH,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co., London, 1822","3 vols (I xlviii, 313p; II 334p; III 349p). 8&deg;",Corvey; CME 3-628-48577-0; ECB 212; EN2 1822: 66; NSTC 2S9583; OCLC 38981912,"Introductory Epistle' signed 'Cuthbert Clutterbuck', Kennaquhair, 1 Apr 1822","2nd edn' 1822 (CBEL3); '3rd edn' 1822 (CBEL3); Albany, NY, 1822 (OCLC) [also Boston 1822 (OCLC); New York 1822 (OCLC); Philadelphia 1822 (OCLC)]; French trans., 1822; German trans., 1822. Numerous reprintings in collected edns",SCOTT
588,1656,GARSIDE1800-1829,20100817,1822A066,Peveril of the Peak,Sir Walter SCOTT,1822,goth,Male,,"PEVERIL OF THE PEAK. BY THE AUTHOR OF ""WAVERLEY, KENILWORTH,"" &C. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1822","4 vols (I xxxii, 302p; II 319p; III 315p; IV 320p). 8&deg;",Corvey; CME 3-628-48579-7; ECB 444; EN2 1822: 67; NSTC 2S10093; OCLC 2392685,"Prefatory Letter' signed 'Jonas Driasdust', Michaelmas-day, 1822, York","2nd edn' 1823 (CBEL3); Boston 1823 (OCLC) [also New York 1823 (OCLC); Philadelphia 1822 (OCLC)]; German trans., 1822 [as <i>Ritter Gottfried Peveril; eine romantische Darstellung</i> (RS)]; French trans., 1823&ndash;24. Numerous reprintings in collected edns",SCOTT
589,1657,GARSIDE1800-1829,20100817,1822A067,"Pirate, The",Sir Walter SCOTT,1822,goth,Male,,"THE PIRATE. BY THE AUTHOR OF ""WAVERLEY, KENILWORTH,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1822","3 vols (I vii, 322p; II 332p; III 346p). 8&deg;",Corvey; CME 3-628-48580-0; ECB 452; EN2 1822: 68; NSTC 2S10118; OCLC 735850,"Advertisement', signed 'The Author of Waverley', dated 1 Nov 1821","2nd edn' 1822 (CBEL3); '3rd edn' 1822 (CBEL3, NSTC); Albany, NY, 1822 (OCLC); [also Boston 1822 (OCLC); Hartford, SC, 1822 (OCLC); New York 1822 (OCLC);  Philadelphia 1822 (OCLC)]; French trans., 1822; German trans., 1822. Numerous reprintings in collected edns",SCOTT
624,1746,GARSIDE1800-1829,20100817,1823A074,Quentin Durward,Sir Walter SCOTT,1823,goth,Male,,"QUENTIN DURWARD. BY THE AUTHOR OF ""WAVERLEY, PEVERIL OF THE PEAK,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1823","3 vols (I lxiii, 273p; II 331p; III 360p). 8&deg;",Corvey; CME 3-628-48583-5; ECB 476; EN2 1823: 74; NSTC 2S10140; OCLC 12529814,,"2nd edn' 1823 (CBEL3); Boston 1823 (OCLC) [also New York 1823 (OCLC); Philadelphia 1823 (OCLC)]; French trans., 1823; German trans., 1823. Numerous reprintings in collected edns",SCOTT
667,1842,GARSIDE1800-1829,20100817,1824A083,Redgauntlet,Sir Walter SCOTT,1824,goth,Male,,"REDGAUNTLET. A TALE OF THE EIGHTEENTH CENTURY. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1824",3 vols (I 319p; II 328p; III 331p). 8&deg;,Corvey; CME 3-628-48581-9; ECB 482; EN2 1824: 83; NSTC 2S10163; OCLC 1985091,,"2nd edn' 1824 (CBEL3); Boston 1824 (OCLC) [also Exeter, NH, 1824 (OCLC); Philadelphia 1824 (OCLC)]; French trans., 1824; German trans., 1824. Numerous reprintings in collected edns",SCOTT
668,1843,GARSIDE1800-1829,20100817,1824A084,St Ronan's Well,Sir Walter SCOTT,1824,goth,Male,,"ST RONAN'S WELL. BY THE AUTHOR OF ""WAVERLEY, QUENTIN DURWARD,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1824",3 vols (I 310p; II 325p; III 323p). 8&deg;,Corvey; CME 3-628-48585-1; ECB 512; EN2 1824: 84; NSTC 2S10227; OCLC 2691234,,"2nd edn' 1824 (CBEL3); Boston 1824 (OCLC) [also New York 1824 (OCLC), also Philadelphia 1824 (OCLC)]; French trans., 1824; German trans., 1824. Numerous reprintings in collected edns",SCOTT
706,1931,GARSIDE1800-1829,20100817,1825A073,Tales of the Crusaders,Sir Walter SCOTT,1825,goth,Male,,"TALES OF THE CRUSADERS. BY THE AUTHOR OF ""WAVERLEY, QUENTIN DURWARD,"" &C. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1825","4 vols (I xxviii, 327p; II 355p; III 325p; IV 364p). 8&deg;",Corvey; CME 3-628-48597-5; ECB 576; EN2 1825: 73; NSTC 2S10307; OCLC 5584494,I The Betrothed; II The Betrothed; III The Talisman; IV The Talisman,"Boston 1825 (OCLC) [also New York 1825 (OCLC); Philadelphia 1825 (NSTC)]; French trans., 1825 [as <i>Histoires du temps des croisades</i>: 'The Betrothed' as <i>Le Conn&egrave;table de Chester; ou les Fianc«∂∏s</i> and 'The Talisman' as <i>Le Talisman; ou, Richard en Palestine</i> (BN)]; German trans., 1825 [as <i>Erz&auml;hlungen von den Kreuzfahrern</i>: 'The Betrothed' as <i>Die Verlobten</i> and 'The Talisman' as <i>Richard L«_wenherz in Pal&auml;stina</i> (RS)]. Numerous reprintings of the constituent tales in collected edns",SCOTT
763,2019,GARSIDE1800-1829,20100817,1826A070,Woodstock,Sir Walter SCOTT,1826,goth,Male,,"WOODSTOCK; OR, THE CAVALIER. A TALE OF THE YEAR SIXTEEN HUNDRED AND FIFTY-ONE. BY THE AUTHOR OF ""WAVERLEY, TALES OF THE CRUSADERS,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Longman, Rees, Orme, Brown, and Green, London, 1826","3 vols (I xvi, 315p; II 332p; III 370p). 8&deg;",Corvey; CME 3-628-48599-1; ECB 647; EN2 1826: 70; NSTC 2S10385; OCLC 1987882,,"Boston 1826 (NSTC) [also New York 1826 (NSTC) and Philadelphia 1826 (NSTC)]; French trans., 1826; German trans., 1826. Numerous reprintings in collected edns",SCOTT
802,2088,GARSIDE1800-1829,20100817,1827A062,Chronicles of the Canongate,Sir Walter SCOTT,1827,goth,Male,,"CHRONICLES OF THE CANONGATE; BY THE AUTHOR OF ""WAVERLEY,"" &C. IN TWO VOLUMES","Edinburgh:                     Printed for Cadell and Co.; and Simpkin and Marshall, London, 1827","2 vols (I xxviii, 351p; II 374p). 8&deg;",Corvey; CME 3-628-48542-8; ECB 521; EN2 1827: 63; NSTC 2S9527; OCLC 1328813,"Introduction signed Walter Scott, Abbotsford, 1 Oct 1827. [1st series]","Boston 1827 (OCLC) [also New York 1827 (OCLC); Philadelphia 1827 (OCLC)]; French trans., 1827; German trans., 1828. Numerous reprintings of its tales ('The Highland Widow', 'The Two Drovers', and 'The Surgeon's Daughter') in collected edns",SCOTT
843,2176,GARSIDE1800-1829,20100817,1828A070,Chronicles of the Canongate. Second Series,Sir Walter SCOTT,1828,goth,Male,,"CHRONICLES OF THE CANONGATE. SECOND SERIES. BY THE AUTHOR OF ""WAVERLEY,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Cadell and Co.; and Simpkin and Marshall, London, 1828",3 vols (I 336p; II 336p; III 348p). 8&deg;,Corvey; CME 3-628-48542-8; ECB 521; EN2 1828: 72; NSTC 2S9531; OCLC 764449,"Saint Valentine's Day; or, the Fair Maid of Perth' (drop-head title) begins at vol. 1, p. 23","2nd edn' 1828 as <i>St Valentine's Day; or, the Fair Maid of Perth</i> (CBEL3, OCLC); New York 1828 (NSTC) [also Philadelphia 1828 (NSTC)]; French trans., 1828 [as <i>La Jolie Fille de Perth</i> (see note below)]; German trans., 1828 [as <i>Das sch«_ne M&auml;dchen von Perth</i> (RS)]. Numerous reprintings in collected edns. Robert Cadell on 15 Aug 1828 wrote to Scott saying he was sending 'a Copy of an old friend in a new dress ""La Jolie Fille de Perth""' (see Grierson, X, 485). This would suggest a French translation in circulation before the 1829 imprint found in CCFR",SCOTT
885,2264,GARSIDE1800-1829,20100817,1829A075,Anne of Geierstein,Sir Walter SCOTT,1829,goth,Male,,"ANNE OF GEIERSTEIN; OR, THE MAIDEN OF THE MIST. BY THE AUTHOR OF ""WAVERLEY,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Cadell and Co.; and Simpkin and Marshall, London, 1829",3 vols (I 336p; II 346p; III 381p). 8&deg;,Corvey; CME 3-628-48546-0; ECB 521; EN2 1829: 75; NSTC 2S9436; OCLC 1250944,,"New York 1829 (NSTC) [also Philadelphia 1829 (NSTC)]; French trans., 1829; German trans., 1829. Numerous reprintings in collected edns",SCOTT
322,855,GARSIDE1800-1829,20100817,1810A077,Zastrozzi,Percy Bysshe SHELLEY,1810,goth,Male,,"ZASTROZZI, A ROMANCE. BY P. B. S","London:                     Printed for G. Wilkie and J. Robinson, 57, Paternoster Row, 1810",1 vol.  (252p). 12&deg;,Corvey; CME 3-628-48997-0; ECB 654; EN2 1810: 76; NSTC S1642; OCLC 3171405,,,SHELLEY
353,941,GARSIDE1800-1829,20100817,1811A072,St Irvyne,Percy Bysshe SHELLEY,1811,goth,Male,,"ST. IRVYNE; OR, THE ROSICRUCIAN: A ROMANCE. BY A GENTLEMAN OF THE UNIVERSITY OF OXFORD","London:                     Printed for J. J. Stockdale, 41, Pall Mall, 1811",1 vol.  (236p). 12&deg;,Corvey; CME 3-628-48489-8; ECB 511; EN2 1811: 72; NSTC S1640; OCLC 1944520,,1822 (NSTC),SHELLEY
297,762,GARSIDE1800-1829,20100817,1809A063,Osrick,Richard SICKELMORE,1809,goth,Male,,"OSRICK; OR, MODERN HORRORS. A ROMANCE. INTERSPERSED WITH A FEW ANECDOTES, &C. THAT HAVE THEIR FOUNDATION IN TRUTH, AND WHICH ARE OCCASIONALLY POINTED OUT TO THE READER. IN THREE VOLUMES. BY RICHARD SICKELMORE, AUTHOR OF MARY-JANE; RAYMOND; AGNES AND LEONORA; EDGAR; RASHLEIGH ABBEY; &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1809","3 vols (I viii, 219p; II 210p; III 246p). 12&deg;",Corvey; CME 3-628-48692-0; ECB 537; EN2 1809: 63; NSTC S1915; xOCLC,Dedication 'to the Right Honourable the Countess Craven',,SICKELMORE
832,2101,GARSIDE1800-1829,20100817,1827A075,Arwed Gyllensterna,Carl Franz van der VELDE,1827,goth,Male,,"ARWED GYLLENSTERNA, A TALE OF THE EARLY PART OF THE EIGHTEENTH CENTURY; FROM THE GERMAN OF C. F. VANDER VELDE. IN TWO VOLUMES","London:                     Printed for E. Lloyd and Son, Harley-Street, 1827","2 vols (I iv, 247p; II 251p). 8&deg;",BL N.501; ECB 609; EN2 1827: 74; NSTC 2V1964; xOCLC,"Trans. of <i>Arwed Gyllenstierna</i> (Dresden, 1823)",1846 (NSTC),VELDE
